央视频道,#genre#
甘肃卫视,http://222.85.70.9/PLTV/88888888/224/3221227013/index.m3u8
广西卫视,http://222.85.70.9/PLTV/88888888/224/3221227045/index.m3u8
贵州卫视,http://222.85.70.9/PLTV/88888888/224/3221227001/index.m3u8
河北卫视,http://222.85.70.9/PLTV/88888888/224/3221227027/index.m3u8
四川卫视,http://222.85.70.9/PLTV/88888888/224/3221227026/index.m3u8
黑龙江卫视,http://222.85.70.9/PLTV/88888888/224/3221227039/index.m3u8
湖北卫视,http://222.85.70.9/PLTV/88888888/224/3221227057/index.m3u8
江西卫视,http://222.85.70.9/PLTV/88888888/224/3221227024/index.m3u8
吉林卫视,http://222.85.70.9/PLTV/88888888/224/3221227022/index.m3u8
云南卫视,http://222.85.70.9/PLTV/88888888/224/3221227051/index.m3u8
陕西卫视,http://222.85.70.9/PLTV/88888888/224/3221227011/index.m3u8
内蒙古卫视,http://222.85.70.9/PLTV/88888888/224/3221227048/index.m3u8
宁夏卫视,http://222.85.70.9/PLTV/88888888/224/3221227019/index.m3u8
山西卫视,http://222.85.70.9/PLTV/88888888/224/3221227042/index.m3u8
青海卫视,http://222.85.70.9/PLTV/88888888/224/3221227010/index.m3u8
西藏卫视,http://222.85.70.9/PLTV/88888888/224/3221227006/index.m3u8
新疆卫视,http://222.85.70.9/PLTV/88888888/224/3221227009/index.m3u8

数字频道,#genre#
上海纪实,http://222.85.70.9/PLTV/88888888/224/3221227165/index.m3u8
纪实科教,http://222.85.70.9/PLTV/88888888/224/3221227250/index.m3u8
金鹰纪实,http://222.85.70.9/PLTV/88888888/224/3221227154/index.m3u8
生活时尚,http://222.85.70.9/PLTV/88888888/224/3221227148/index.m3u8
多彩文体4k,http://222.85.70.9/PLTV/88888888/224/3221227134/index.m3u8
动漫秀场,http://222.85.70.9/PLTV/88888888/224/3221227131/index.m3u8
都市剧场,http://222.85.70.9/PLTV/88888888/224/3221227127/index.m3u8
快乐垂钓,http://222.85.70.9/PLTV/88888888/224/3221227128/index.m3u8
新视觉,http://222.85.70.9/PLTV/88888888/224/3221227149/index.m3u8
金色学堂,http://222.85.70.9/PLTV/88888888/224/3221227145/index.m3u8
先锋乒羽,http://222.85.70.9/PLTV/88888888/224/3221227151/index.m3u8
法制天地,http://222.85.70.9/PLTV/88888888/224/3221227170/index.m3u8
游戏风云,http://222.85.70.9/PLTV/88888888/224/3221227152/index.m3u8
车迷频道,http://222.85.70.9/PLTV/88888888/224/3221227189/index.m3u8
国学频道,http://222.85.70.9/PLTV/88888888/224/3221227090/index.m3u8
东方财经,http://222.85.70.9/PLTV/88888888/224/3221227141/index.m3u8
财富天下,http://222.85.70.9/PLTV/88888888/224/3221227195/index.m3u8
四海钓鱼,http://222.85.70.9/PLTV/88888888/224/3221227168/index.m3u8
环球旅游,http://222.85.70.9/PLTV/88888888/224/3221227192/index.m3u8
优优宝贝,http://222.85.70.9/PLTV/88888888/224/3221227146/index.m3u8
茶频道,http://222.85.70.9/PLTV/88888888/224/3221227121/index.m3u8
乐游,http://222.85.70.9/PLTV/88888888/224/3221227155/index.m3u8
书法,http://222.85.70.9/PLTV/88888888/224/3221227160/index.m3u8
卡酷动画,http://222.85.70.9/PLTV/88888888/224/3221226992/index.m3u8
嘉佳卡通,http://222.85.70.9/PLTV/88888888/224/3221226995/index.m3u8
哈哈炫动,http://222.85.70.9/PLTV/88888888/224/3221227002/index.m3u8
金鹰卡通,http://222.85.70.9/PLTV/88888888/224/3221227012/index.m3u8
优漫卡通,http://222.85.70.9/PLTV/88888888/224/3221227031/index.m3u8
中央新影老故事,http://222.85.70.9/PLTV/88888888/224/3221227173/index.m3u8

省级频道,#genre#
